CART_EVENT_ID,ANONYMOUS_ID,USER_ID,RECEIVED_AT,CART_VALUE
d8NTRIDghyn4Sji1,86617f1808483aedcf2de688eb0be3b2,,2024-03-03 08:44:38.000,51.00
H1ynpYbWTaHIr5p9,5f32d49852e3eb7e32e65f19b8f45dec,,2023-11-08 13:33:20.000,44.00
W7t5FUO6YOHPwr1S,dad8465861bbe1cc94a3983de5657c43,,2024-02-24 06:37:58.000,83.00
40k3p9ize5pjdJ8a,dad8465861bbe1cc94a3983de5657c43,laurie.reese626@example.com,2024-02-27 07:17:13.000,83.00
UjX9JlS359F0Vgrd,24826f31839236203fe9da929ce68e47,,2024-01-10 17:30:45.000,31.00
YBXeh1fQV4YhdXbJ,9c98dbd22da8cf21a8a48c28d43490c9,sweeney.julie226@example.org,2024-03-07 16:14:05.000,59.00
tsYmOFQbWV09ffCX,04f2d89e205ef70c836a7cc0290ce79f,,2023-12-23 17:58:01.000,93.00
CbEWKKqzUmegCYzF,4603778ce4755b591ad6f767a0d369b0,sanders.anna799@example.org,2024-03-26 03:13:20.000,32.00
khiLeHUClDbX62N5,fe1db9d79bb8f4d91472ba3fb079fddd,smith.kimberly543@example.org,2023-09-24 09:42:22.000,79.00
pJASgDeb1a6YQKbx,fe1db9d79bb8f4d91472ba3fb079fddd,smith.kimberly543@example.org,2023-10-05 16:31:36.000,22.00
qWyRWpkJIpMvcX9A,5e4e9dc853ff6c58ee803ad1e32c404a,,2023-12-20 22:48:34.000,72.00
yerrsFYR3RAuoX70,e5a0e08564505aaf4f3e3a9e96cdad15,smith.nicole459@example.org,2024-02-23 01:49:37.000,76.00
0uiBtCF8oYq7KNl7,290f3b080c83b0c35e10c7cb41a32b31,white.jesse600@example.org,2023-11-09 13:11:52.000,71.00
wvAwU63lEgYr7oQ3,1e6b7bafa2ac667ec2fb9f7353aab632,patricia.bennett308@example.org,2023-09-17 11:04:47.000,102.00
63UsDJtysw5a10A6,3cd7923f805c8d733d5735bed1ae3923,,2024-02-27 00:30:05.000,63.00
FPrO0W0XPmGtqJmM,b6338731dec223721a2c9173508d4244,cunningham.kristen158@example.org,2024-02-04 12:35:59.000,105.00
TjFqM6OWJEuB6fSt,e39b257e5676a4b7a2475ba2a812bbfb,devinrivera@example.com,2024-04-02 20:09:52.000,25.00
yHb1lyazbaIJGbdb,e39b257e5676a4b7a2475ba2a812bbfb,devinrivera@example.com,2024-04-15 02:57:54.000,96.00
IsVFqcBpsgHQyrKx,49b865c902c5c1312687bdbad14b9b74,,2024-01-23 05:32:33.000,9.00
jscU32LfgwUCFSLo,8ce0516feffbb8a23cedd809766a7d7b,,2024-01-22 17:03:45.000,84.00
