RECEIVED_AT,LAST_NAME,FIRST_NAME,CONTEXT_CAMPAIGN_TERM,CONTEXT_CAMPAIGN_SOURCE,CONTEXT_CAMPAIGN_NAME,CONTEXT_CAMPAIGN_MEDIUM,CONTEXT_CAMPAIGN_CONTENT,ANONYMOUS_ID,USER_ID,CONTEXT_IP,ID
2024-01-11 07:38:37.000,Rivera,John,,,,,,d6eee71576cc66b3841fe2cb37b2135c,john.rivera376@example.net,185.201.185.165,gzoHkay90zoqFMTp
2024-02-24 06:39:39.000,Reese,Laurie,,,,,,dad8465861bbe1cc94a3983de5657c43,laurie.reese626@example.com,28.238.114.158,N94TPuwUi8AcmR6S
2024-02-27 07:09:05.000,Reese,Laurie,,,,,,dad8465861bbe1cc94a3983de5657c43,laurie.reese626@example.com,24.193.222.251,e5P0sOeHkOWG0Jyj
2024-03-07 16:07:49.000,Sweeney,Julie,,,,,,9c98dbd22da8cf21a8a48c28d43490c9,sweeney.julie226@example.org,74.141.120.25,RIoglFgpjWWsRU9m
2024-03-26 03:05:21.000,Sanders,Anna,christmas sale,bing,cmpn_232,ppc,53454fasdf,4603778ce4755b591ad6f767a0d369b0,sanders.anna799@example.org,220.100.186.56,yRgYWPWGNNljpmSK
2023-09-24 09:35:10.000,Smith,Kimberly,,,,,,fe1db9d79bb8f4d91472ba3fb079fddd,smith.kimberly543@example.org,16.233.68.234,ZHQtmPSScCyy8vwk
2023-10-05 16:32:14.000,Smith,Kimberly,,,,,,fe1db9d79bb8f4d91472ba3fb079fddd,smith.kimberly543@example.org,164.203.5.169,klxCFxHmjaHeHU3I
2024-02-11 23:43:30.000,Smith,Nicole,,,,,,e5a0e08564505aaf4f3e3a9e96cdad15,smith.nicole459@example.org,187.123.183.44,bvVPVfSFacyoX4Kn
2024-02-23 01:51:32.000,Smith,Nicole,,,,,,e5a0e08564505aaf4f3e3a9e96cdad15,smith.nicole459@example.org,15.106.47.34,We4GHJg2GiMw9kFH
2023-11-09 13:03:01.000,White,Jesse,,,,,,290f3b080c83b0c35e10c7cb41a32b31,white.jesse600@example.org,196.147.151.188,VMPpV7wdAVEfuAHk
2023-09-12 10:02:59.000,Bennett,Patricia,,,,,,1e6b7bafa2ac667ec2fb9f7353aab632,patricia.bennett308@example.org,161.91.42.237,TbUENCK7R6hG1syG
