CONTEXT_IP,CONTEXT_SESSION_START,CONTEXT_SESSION_ID,CONTEXT_PAGE_URL,CART_ID,CHECKOUT_ID,ORDER_ID,ID,PAYMENT_METHOD,EVENT,LOCALE,CURRENCY,CHANNEL,EVENT_TEXT,COUNTRY_CODE,ANONYMOUS_ID,RECEIVED_AT,UUID_TS,TIMESTAMP,ORIGINAL_TIMESTAMP,SENT_AT,CONTEXT_SCREEN_HEIGHT,CONTEXT_SCREEN_WIDTH,CONTEXT_SCREEN_DENSITY,CONTEXT_SCREEN_INNER_HEIGHT,CONTEXT_SCREEN_INNER_WIDTH,USER_ID,PRODUCTS,REVENUE,TAX,SHIPPING,TOTAL
28.238.114.158,2024-02-24 06:29:59.000,1708736399,"www.choixcart.com[{'page': {'id': '2fjMAff9NDBPh6X2', 'context_ip': '28.238.114.158', 'name': 'signup', 'path': '/signup', 'context_session_id': 1708736399, 'url': 'www.choixcart.com/signup', 'context_destination_id': 'trhFRv2b7KyUqj', 'context_destination_type': 'snowflake', 'context_app_namespace': 'com.rudderstack.javascript', 'context_page_referrer': None, 'context_page_referring_domain': None, 'context_page_path': '/cart/view.html?ref=nav_cart', 'anonymous_id': 'dad8465861bbe1cc94a3983de5657c43', 'user_id': 'laurie.reese626@example.com', 'received_at': '2024-02-24T06:39:39.000000Z', 'sent_at': '2024-02-24T06:39:39.000000Z', 'original_timestamp': '2024-02-24T06:39:39.000000Z', 'timestamp': '2024-02-24T06:39:39.000000Z', 'uuid_ts': '2024-02-24T06:39:39.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_source': None, 'context_campaign_name': None, 'category': None, 'title': None}}, {'track': {'anonymous_id': 'dad8465861bbe1cc94a3983de5657c43', 'original_timestamp': '2024-02-24T06:39:39.000000Z', 'received_at': '2024-02-24T06:39:39.000000Z', 'sent_at': '2024-02-24T06:39:39.000000Z', 'timestamp': '2024-02-24T06:39:39.000000Z', 'uuid_ts': '2024-02-24T06:39:39.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_name': None, 'context_campaign_source': None, 'context_app_namespace': 'com.rudderstack.javascript', 'context_destination_id': 'trhFRv2b7KyUqj', 'context_destination_type': 'snowflake', 'context_session_id': 1708736399, 'user_id': None, 'id': 'jkQCLIK607gn47ny', 'channel': 'web', 'event_text': 'SIGNUP', 'event': 'signup'}}, {'identify': {'uuid_ts': '2024-02-24T06:39:39.000000Z', 'timestamp': '2024-02-24T06:39:39.000000Z', 'sent_at': '2024-02-24T06:39:39.000000Z', 'received_at': '2024-02-24T06:39:39.000000Z', 'original_timestamp': '2024-02-24T06:39:39.000000Z', 'last_name': 'Reese', 'first_name': 'Laurie', 'email': 'laurie.reese626@example.com', 'context_screen_height': 780, 'context_screen_width': 360, 'context_screen_density': 3, 'context_screen_inner_height': 645, 'context_screen_inner_width': 360, 'context_campaign_term': None, 'context_campaign_source': None, 'context_campaign_name': None, 'context_campaign_medium': None, 'context_campaign_content': None, 'anonymous_id': 'dad8465861bbe1cc94a3983de5657c43', 'user_id': 'laurie.reese626@example.com', 'context_ip': '28.238.114.158', 'id': 'N94TPuwUi8AcmR6S', 'context_session_start': '2024-02-24T06:29:59.000000Z', 'context_session_id': 1708736399, 'context_library_version': '1.0.2', 'context_page_url': 'www.choixcart.com/signup', 'state': 'MS', 'address_country': 'US', 'currency': 'usd'}}]",piWRepx7oMgkXjZXUm4S,tuf8vxWs3u,aVVHAlQa1oJL,yvVqJMhs72KSGF,paypal,order_complete,gb,usd,web,ORDER COMPLETED,gb,dad8465861bbe1cc94a3983de5657c43,2024-02-24 06:46:31.000,2024-02-24 06:46:31.000,2024-02-24 06:46:31.000,2024-02-24 06:46:31.000,2024-02-24 06:46:31.000,780,360,3,645,360,laurie.reese626@example.com,"[{""title"": null, ""category"": ""Jeans"", ""path"": ""/p/4264"", ""url"": ""www.choixcart.com/p/4264"", ""price"": 176}]",141,18,18,158
24.193.222.251,2024-02-27 07:07:31.000,1708997851,www.choixcart.com/cart/view.html?ref=nav_cart,hX26otxagIJo1QsUadaE,Okh0mk5o31,vkloL334iL9X,ZmTDO8FFfsiPne,visa,order_complete,it,usd,web,ORDER COMPLETED,it,dad8465861bbe1cc94a3983de5657c43,2024-02-27 07:24:59.000,2024-02-27 07:24:59.000,2024-02-27 07:24:59.000,2024-02-27 07:24:59.000,2024-02-27 07:24:59.000,1080,1920,1,976,1825,laurie.reese626@example.com,"[{""title"": null, ""category"": ""Mens clothing"", ""path"": ""/p/7583"", ""url"": ""www.choixcart.com/p/7583"", ""price"": 189}]",151,19,19,170
220.100.186.56,2024-03-26 03:01:45.000,1711402305,www.choixcart.com/cart/view.html?ref=nav_cart,jq1JAjohScwhx0QlIG4V,Y864J8diZV,Qo7pgGpFu6aZ,HEdkUH2ycjYrBJ,mastercard,order_complete,us,usd,web,ORDER COMPLETED,us,4603778ce4755b591ad6f767a0d369b0,2024-03-26 03:15:54.000,2024-03-26 03:15:54.000,2024-03-26 03:15:54.000,2024-03-26 03:15:54.000,2024-03-26 03:15:54.000,1080,1920,1,976,1825,sanders.anna799@example.org,"[{""title"": null, ""category"": ""Mens clothing"", ""path"": ""/p/7583"", ""url"": ""www.choixcart.com/p/7583"", ""price"": 189}]",151,19,19,170
164.203.5.169,2023-10-05 16:27:22.000,1696503442,"www.choixcart.com[{'page': {'id': 'lRQfdhH7MxLwpinx', 'context_ip': '164.203.5.169', 'name': 'login', 'path': '/login', 'context_session_id': 1696503442, 'url': 'www.choixcart.com/login', 'context_destination_id': 'trhFRv2b7KyUqj', 'context_destination_type': 'snowflake', 'context_app_namespace': 'com.rudderstack.javascript', 'context_page_referrer': None, 'context_page_referring_domain': None, 'context_page_path': '/cart/view.html?ref=nav_cart', 'anonymous_id': 'fe1db9d79bb8f4d91472ba3fb079fddd', 'user_id': 'smith.kimberly543@example.org', 'received_at': '2023-10-05T16:32:14.000000Z', 'sent_at': '2023-10-05T16:32:14.000000Z', 'original_timestamp': '2023-10-05T16:32:14.000000Z', 'timestamp': '2023-10-05T16:32:14.000000Z', 'uuid_ts': '2023-10-05T16:32:14.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_source': None, 'context_campaign_name': None, 'category': None, 'title': None}}, {'track': {'anonymous_id': 'fe1db9d79bb8f4d91472ba3fb079fddd', 'original_timestamp': '2023-10-05T16:32:14.000000Z', 'received_at': '2023-10-05T16:32:14.000000Z', 'sent_at': '2023-10-05T16:32:14.000000Z', 'timestamp': '2023-10-05T16:32:14.000000Z', 'uuid_ts': '2023-10-05T16:32:14.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_name': None, 'context_campaign_source': None, 'context_app_namespace': 'com.rudderstack.javascript', 'context_destination_id': 'trhFRv2b7KyUqj', 'context_destination_type': 'snowflake', 'context_session_id': 1696503442, 'user_id': 'smith.kimberly543@example.org', 'id': 'J7yvM5eCgs4110BL', 'channel': 'web', 'event_text': 'LOGIN', 'event': 'login'}}, {'identify': {'uuid_ts': '2023-10-05T16:32:14.000000Z', 'timestamp': '2023-10-05T16:32:14.000000Z', 'sent_at': '2023-10-05T16:32:14.000000Z', 'received_at': '2023-10-05T16:32:14.000000Z', 'original_timestamp': '2023-10-05T16:32:14.000000Z', 'last_name': 'Smith', 'first_name': 'Kimberly', 'email': 'smith.kimberly543@example.org', 'context_screen_height': 854, 'context_screen_width': 385, 'context_screen_density': 1, 'context_screen_inner_height': 726, 'context_screen_inner_width': 384, 'context_campaign_term': None, 'context_campaign_source': None, 'context_campaign_name': None, 'context_campaign_medium': None, 'context_campaign_content': None, 'anonymous_id': 'fe1db9d79bb8f4d91472ba3fb079fddd', 'user_id': 'smith.kimberly543@example.org', 'context_ip': '164.203.5.169', 'id': 'klxCFxHmjaHeHU3I', 'context_session_start': '2023-10-05T16:27:22.000000Z', 'context_session_id': 1696503442, 'context_library_version': '1.0.2', 'context_page_url': 'www.choixcart.com/login', 'state': 'KY', 'address_country': 'US', 'currency': 'usd'}}]",iAsCFOOzE10E9rVg5chc,FdyAHfAesH,4RsedjDgcP9q,DqeAMfZ5jo9E1D,paypal,order_complete,ca,usd,web,ORDER COMPLETED,ca,fe1db9d79bb8f4d91472ba3fb079fddd,2023-10-05 16:41:38.000,2023-10-05 16:41:38.000,2023-10-05 16:41:38.000,2023-10-05 16:41:38.000,2023-10-05 16:41:38.000,854,385,1,726,384,smith.kimberly543@example.org,"[{""title"": null, ""category"": ""Jeans"", ""path"": ""/p/6637"", ""url"": ""www.choixcart.com/p/6637"", ""price"": 83}]",66,8,8,75
15.106.47.34,2024-02-23 01:39:55.000,1708632595,"www.choixcart.com[{'page': {'id': 'JzZ5gVo9ic1bH5ye', 'context_ip': '15.106.47.34', 'name': 'login', 'path': '/login', 'context_session_id': 1708632595, 'url': 'www.choixcart.com/login', 'context_destination_id': 'trhFRv2b7KyUqj', 'context_destination_type': 'snowflake', 'context_app_namespace': 'com.rudderstack.javascript', 'context_page_referrer': None, 'context_page_referring_domain': None, 'context_page_path': '/cart/view.html?ref=nav_cart', 'anonymous_id': 'e5a0e08564505aaf4f3e3a9e96cdad15', 'user_id': 'smith.nicole459@example.org', 'received_at': '2024-02-23T01:51:32.000000Z', 'sent_at': '2024-02-23T01:51:32.000000Z', 'original_timestamp': '2024-02-23T01:51:32.000000Z', 'timestamp': '2024-02-23T01:51:32.000000Z', 'uuid_ts': '2024-02-23T01:51:32.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_source': None, 'context_campaign_name': None, 'category': None, 'title': None}}, {'track': {'anonymous_id': 'e5a0e08564505aaf4f3e3a9e96cdad15', 'original_timestamp': '2024-02-23T01:51:32.000000Z', 'received_at': '2024-02-23T01:51:32.000000Z', 'sent_at': '2024-02-23T01:51:32.000000Z', 'timestamp': '2024-02-23T01:51:32.000000Z', 'uuid_ts': '2024-02-23T01:51:32.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_name': None, 'context_campaign_source': None, 'context_app_namespace': 'com.rudderstack.javascript', 'context_destination_id': 'trhFRv2b7KyUqj', 'context_destination_type': 'snowflake', 'context_session_id': 1708632595, 'user_id': 'smith.nicole459@example.org', 'id': 'CrSPHTmmrkVmbGCy', 'channel': 'web', 'event_text': 'LOGIN', 'event': 'login'}}, {'identify': {'uuid_ts': '2024-02-23T01:51:32.000000Z', 'timestamp': '2024-02-23T01:51:32.000000Z', 'sent_at': '2024-02-23T01:51:32.000000Z', 'received_at': '2024-02-23T01:51:32.000000Z', 'original_timestamp': '2024-02-23T01:51:32.000000Z', 'last_name': 'Smith', 'first_name': 'Nicole', 'email': 'smith.nicole459@example.org', 'context_screen_height': 873, 'context_screen_width': 393, 'context_screen_density': 2, 'context_screen_inner_height': 760, 'context_screen_inner_width': 393, 'context_campaign_term': None, 'context_campaign_source': None, 'context_campaign_name': None, 'context_campaign_medium': None, 'context_campaign_content': None, 'anonymous_id': 'e5a0e08564505aaf4f3e3a9e96cdad15', 'user_id': 'smith.nicole459@example.org', 'context_ip': '15.106.47.34', 'id': 'We4GHJg2GiMw9kFH', 'context_session_start': '2024-02-23T01:39:55.000000Z', 'context_session_id': 1708632595, 'context_library_version': '0.10.4', 'context_page_url': 'www.choixcart.com/login', 'state': 'AK', 'address_country': 'US', 'currency': 'usd'}}]",B74DqWzYJ9IAv913FSgo,PH8qizhbM2,16Kj13LfGQWz,QVbDk4Nedb5zwy,paypal,order_complete,gb,usd,web,ORDER COMPLETED,gb,e5a0e08564505aaf4f3e3a9e96cdad15,2024-02-23 02:00:01.000,2024-02-23 02:00:01.000,2024-02-23 02:00:01.000,2024-02-23 02:00:01.000,2024-02-23 02:00:01.000,873,393,2,760,393,smith.nicole459@example.org,"[{""title"": null, ""category"": ""Shirts"", ""path"": ""/p/4710"", ""url"": ""www.choixcart.com/p/4710"", ""price"": 118}]",94,12,12,106
196.147.151.188,2023-11-09 13:01:03.000,1699515063,www.choixcart.com/cart/view.html?ref=nav_cart,JnbewDNNT1ffra5E6UCs,N091smOWRr,lg6UGvMUrle5,IgweGgfX2z7c7u,mastercard,order_complete,gb,usd,web,ORDER COMPLETED,gb,290f3b080c83b0c35e10c7cb41a32b31,2023-11-09 13:21:40.000,2023-11-09 13:21:40.000,2023-11-09 13:21:40.000,2023-11-09 13:21:40.000,2023-11-09 13:21:40.000,800,1280,2,562,1272,white.jesse600@example.org,"[{""title"": null, ""category"": ""Formal Shoes"", ""path"": ""/p/4175"", ""url"": ""www.choixcart.com/p/4175"", ""price"": 94}]",75,9,9,85
161.32.63.137,2023-09-17 10:57:53.000,1694928473,"www.choixcart.com[{'page': {'id': 'PDJX64IJSXTJTRkM', 'context_ip': '161.32.63.137', 'name': 'login', 'path': '/login', 'context_session_id': 1694928473, 'url': 'www.choixcart.com/login', 'context_destination_id': 'trhFRv2b7KyUqj', 'context_destination_type': 'snowflake', 'context_app_namespace': 'com.rudderstack.javascript', 'context_page_referrer': None, 'context_page_referring_domain': None, 'context_page_path': '/cart/view.html?ref=nav_cart', 'anonymous_id': '1e6b7bafa2ac667ec2fb9f7353aab632', 'user_id': 'patricia.bennett308@example.org', 'received_at': '2023-09-17T11:05:09.000000Z', 'sent_at': '2023-09-17T11:05:09.000000Z', 'original_timestamp': '2023-09-17T11:05:09.000000Z', 'timestamp': '2023-09-17T11:05:09.000000Z', 'uuid_ts': '2023-09-17T11:05:09.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_source': None, 'context_campaign_name': None, 'category': None, 'title': None}}, {'track': {'anonymous_id': '1e6b7bafa2ac667ec2fb9f7353aab632', 'original_timestamp': '2023-09-17T11:05:09.000000Z', 'received_at': '2023-09-17T11:05:09.000000Z', 'sent_at': '2023-09-17T11:05:09.000000Z', 'timestamp': '2023-09-17T11:05:09.000000Z', 'uuid_ts': '2023-09-17T11:05:09.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_name': None, 'context_campaign_source': None, 'context_app_namespace': 'com.rudderstack.javascript', 'context_destination_id': 'trhFRv2b7KyUqj', 'context_destination_type': 'snowflake', 'context_session_id': 1694928473, 'user_id': 'patricia.bennett308@example.org', 'id': 'HAfnVJI7kF3WIHpb', 'channel': 'web', 'event_text': 'LOGIN', 'event': 'login'}}, {'identify': {'uuid_ts': '2023-09-17T11:05:09.000000Z', 'timestamp': '2023-09-17T11:05:09.000000Z', 'sent_at': '2023-09-17T11:05:09.000000Z', 'received_at': '2023-09-17T11:05:09.000000Z', 'original_timestamp': '2023-09-17T11:05:09.000000Z', 'last_name': 'Bennett', 'first_name': 'Patricia', 'email': 'patricia.bennett308@example.org', 'context_screen_height': 1080, 'context_screen_width': 1920, 'context_screen_density': 1, 'context_screen_inner_height': 976, 'context_screen_inner_width': 1825, 'context_campaign_term': None, 'context_campaign_source': None, 'context_campaign_name': None, 'context_campaign_medium': None, 'context_campaign_content': None, 'anonymous_id': '1e6b7bafa2ac667ec2fb9f7353aab632', 'user_id': 'patricia.bennett308@example.org', 'context_ip': '161.32.63.137', 'id': 'unUbFNsDNsEUAfTF', 'context_session_start': '2023-09-17T10:57:53.000000Z', 'context_session_id': 1694928473, 'context_library_version': '1.0.2', 'context_page_url': 'www.choixcart.com/login', 'state': 'AK', 'address_country': 'US', 'currency': 'usd'}}]",yzxGt5E5hzJFhPH8DYoi,RJboZZ6YCk,7x10uDSE6Tsq,bS6sEtSUg5ACVp,paypal,order_complete,it,usd,web,ORDER COMPLETED,it,1e6b7bafa2ac667ec2fb9f7353aab632,2023-09-17 11:13:15.000,2023-09-17 11:13:15.000,2023-09-17 11:13:15.000,2023-09-17 11:13:15.000,2023-09-17 11:13:15.000,1080,1920,1,976,1825,patricia.bennett308@example.org,"[{""title"": null, ""category"": ""Shoes"", ""path"": ""/p/1608"", ""url"": ""www.choixcart.com/p/1608"", ""price"": 50}]",40,5,5,45
108.69.85.126,2024-04-15 02:53:52.000,1713129832,www.choixcart.com/cart/view.html?ref=nav_cart,SQQMYgd9CHMgCTo98ptj,tGhOYeC7Lf,rpIM8u4tw0kW,LEpcVQso9tMFcj,amex,order_complete,ca,usd,web,ORDER COMPLETED,ca,e39b257e5676a4b7a2475ba2a812bbfb,2024-04-15 03:04:17.000,2024-04-15 03:04:17.000,2024-04-15 03:04:17.000,2024-04-15 03:04:17.000,2024-04-15 03:04:17.000,1080,1920,1,976,1825,devinrivera@example.com,"[{""title"": null, ""category"": ""Mens clothing"", ""path"": ""/p/9529"", ""url"": ""www.choixcart.com/p/9529"", ""price"": 130}]",104,13,13,117
190.175.59.45,2024-01-22 16:54:30.000,1705922670,"www.choixcart.com[{'page': {'id': 'dQ3fstW4faiYcG7n', 'context_ip': '190.175.59.45', 'name': 'login', 'path': '/login', 'context_session_id': 1705922670, 'url': 'www.choixcart.com/login', 'context_destination_id': 'trhFRv2b7KyUqj', 'context_destination_type': 'snowflake', 'context_app_namespace': 'com.rudderstack.javascript', 'context_page_referrer': '$direct', 'context_page_referring_domain': None, 'context_page_path': '/cart/view.html?ref=nav_cart', 'anonymous_id': '8ce0516feffbb8a23cedd809766a7d7b', 'user_id': 'martin.tina002@example.org', 'received_at': '2024-01-22T17:04:41.000000Z', 'sent_at': '2024-01-22T17:04:41.000000Z', 'original_timestamp': '2024-01-22T17:04:41.000000Z', 'timestamp': '2024-01-22T17:04:41.000000Z', 'uuid_ts': '2024-01-22T17:04:41.000000Z', 'context_campaign_medium': 'email', 'context_campaign_content': 'gsf4dsgs', 'context_campaign_source': 'email', 'context_campaign_name': 'cmpn_125', 'category': None, 'title': None}}, {'track': {'anonymous_id': '8ce0516feffbb8a23cedd809766a7d7b', 'original_timestamp': '2024-01-22T17:04:41.000000Z', 'received_at': '2024-01-22T17:04:41.000000Z', 'sent_at': '2024-01-22T17:04:41.000000Z', 'timestamp': '2024-01-22T17:04:41.000000Z', 'uuid_ts': '2024-01-22T17:04:41.000000Z', 'context_campaign_medium': 'email', 'context_campaign_content': 'gsf4dsgs', 'context_campaign_name': 'cmpn_125', 'context_campaign_source': 'email', 'context_app_namespace': 'com.rudderstack.javascript', 'context_destination_id': 'trhFRv2b7KyUqj', 'context_destination_type': 'snowflake', 'context_session_id': 1705922670, 'user_id': None, 'id': 'XswLgGFLLgfCWJf9', 'channel': 'web', 'event_text': 'LOGIN', 'event': 'login'}}, {'identify': {'uuid_ts': '2024-01-22T17:04:41.000000Z', 'timestamp': '2024-01-22T17:04:41.000000Z', 'sent_at': '2024-01-22T17:04:41.000000Z', 'received_at': '2024-01-22T17:04:41.000000Z', 'original_timestamp': '2024-01-22T17:04:41.000000Z', 'last_name': 'Martin', 'first_name': 'Tina', 'email': 'martin.tina002@example.org', 'context_screen_height': 1080, 'context_screen_width': 1920, 'context_screen_density': 1, 'context_screen_inner_height': 976, 'context_screen_inner_width': 1825, 'context_campaign_term': 'abandon cart', 'context_campaign_source': 'email', 'context_campaign_name': 'cmpn_125', 'context_campaign_medium': 'email', 'context_campaign_content': 'gsf4dsgs', 'anonymous_id': '8ce0516feffbb8a23cedd809766a7d7b', 'user_id': 'martin.tina002@example.org', 'context_ip': '190.175.59.45', 'id': 'GEct8N9nTble4ZCv', 'context_session_start': '2024-01-22T16:54:30.000000Z', 'context_session_id': 1705922670, 'context_library_version': '1.0.2', 'context_page_url': 'www.choixcart.com/login', 'state': 'NM', 'address_country': 'US', 'currency': 'usd'}}]",Jafym0DJqCl7gEyzD9jc,ZiJknK9CJE,KnPKiwXwPlaB,nobMw1Ay3XSWzC,amex,order_complete,us,usd,web,ORDER COMPLETED,us,8ce0516feffbb8a23cedd809766a7d7b,2024-01-22 17:14:20.000,2024-01-22 17:14:20.000,2024-01-22 17:14:20.000,2024-01-22 17:14:20.000,2024-01-22 17:14:20.000,1080,1920,1,976,1825,martin.tina002@example.org,"[{""title"": null, ""category"": ""Formal Shoes"", ""path"": ""/p/8206"", ""url"": ""www.choixcart.com/p/8206"", ""price"": 176}]",141,18,18,158
209.14.105.30,2023-12-28 07:13:04.000,1703727784,"www.choixcart.com[{'page': {'id': 'zDDQ2YFMfIet5tDT', 'context_ip': '209.14.105.30', 'name': 'login', 'path': '/login', 'context_session_id': 1703727784, 'url': 'www.choixcart.com/login', 'context_destination_id': 'trhFRv2b7KyUqj', 'context_destination_type': 'snowflake', 'context_app_namespace': 'com.rudderstack.javascript', 'context_page_referrer': '$direct', 'context_page_referring_domain': None, 'context_page_path': '/cart/view.html?ref=nav_cart', 'anonymous_id': '841dd0549f8f7aabe26048ec90913e93', 'user_id': 'davidrichards@example.com', 'received_at': '2023-12-28T07:24:09.000000Z', 'sent_at': '2023-12-28T07:24:09.000000Z', 'original_timestamp': '2023-12-28T07:24:09.000000Z', 'timestamp': '2023-12-28T07:24:09.000000Z', 'uuid_ts': '2023-12-28T07:24:09.000000Z', 'context_campaign_medium': 'email', 'context_campaign_content': '53dsvdsa', 'context_campaign_source': 'email', 'context_campaign_name': 'cmpn_421', 'category': None, 'title': None}}, {'track': {'anonymous_id': '841dd0549f8f7aabe26048ec90913e93', 'original_timestamp': '2023-12-28T07:24:09.000000Z', 'received_at': '2023-12-28T07:24:09.000000Z', 'sent_at': '2023-12-28T07:24:09.000000Z', 'timestamp': '2023-12-28T07:24:09.000000Z', 'uuid_ts': '2023-12-28T07:24:09.000000Z', 'context_campaign_medium': 'email', 'context_campaign_content': '53dsvdsa', 'context_campaign_name': 'cmpn_421', 'context_campaign_source': 'email', 'context_app_namespace': 'com.rudderstack.javascript', 'context_destination_id': 'trhFRv2b7KyUqj', 'context_destination_type': 'snowflake', 'context_session_id': 1703727784, 'user_id': 'davidrichards@example.com', 'id': '7tSshuIbJDyfOjuv', 'channel': 'web', 'event_text': 'LOGIN', 'event': 'login'}}, {'identify': {'uuid_ts': '2023-12-28T07:24:09.000000Z', 'timestamp': '2023-12-28T07:24:09.000000Z', 'sent_at': '2023-12-28T07:24:09.000000Z', 'received_at': '2023-12-28T07:24:09.000000Z', 'original_timestamp': '2023-12-28T07:24:09.000000Z', 'last_name': 'Richards', 'first_name': 'David', 'email': 'davidrichards@example.com', 'context_screen_height': 1080, 'context_screen_width': 1920, 'context_screen_density': 1, 'context_screen_inner_height': 976, 'context_screen_inner_width': 1825, 'context_campaign_term': 'brand launch', 'context_campaign_source': 'email', 'context_campaign_name': 'cmpn_421', 'context_campaign_medium': 'email', 'context_campaign_content': '53dsvdsa', 'anonymous_id': '841dd0549f8f7aabe26048ec90913e93', 'user_id': 'davidrichards@example.com', 'context_ip': '209.14.105.30', 'id': 'xsFjyoN8LnQitSlX', 'context_session_start': '2023-12-28T07:13:04.000000Z', 'context_session_id': 1703727784, 'context_library_version': '0.10.4', 'context_page_url': 'www.choixcart.com/login', 'state': 'VA', 'address_country': 'US', 'currency': 'usd'}}]",NDW3hErL4dye9KlBIhxQ,HPbCoZPSzf,94YpkjdE3tBX,kXXWGNqjet0ePB,amex,order_complete,ca,usd,web,ORDER COMPLETED,ca,841dd0549f8f7aabe26048ec90913e93,2023-12-28 07:31:06.000,2023-12-28 07:31:06.000,2023-12-28 07:31:06.000,2023-12-28 07:31:06.000,2023-12-28 07:31:06.000,1080,1920,1,976,1825,davidrichards@example.com,"[{""title"": null, ""category"": ""Shoes"", ""path"": ""/p/3227"", ""url"": ""www.choixcart.com/p/3227"", ""price"": 99}]",79,10,10,89
