USER_ID,TOTAL_IDENTIFIES,FIRST_IDENTIFY_AT,LAST_IDENTIFY_AT,DISTINCT_ANON_IDS,FIRST_UTM_SOURCE,FIRST_UTM_MEDIUM,FIRST_UTM_CAMPAIGN,FIRST_UTM_CONTENT,FIRST_UTM_TERM,LAST_UTM_SOURCE,LAST_UTM_MEDIUM,LAST_UTM_CAMPAIGN,LAST_UTM_CONTENT,LAST_UTM_TERM,TOTAL_ORDERS,TOTAL_REVENUE,FIRST_ORDER_AT,LAST_ORDER_AT,TOTAL_CART_ADDS,TOTAL_CART_VALUE,LAST_CART_ADD_AT,FIRST_SEEN_AT,LAST_SEEN_AT,INACTIVE_DAYS
adam.norton111@example.com,2,2024-01-05 14:59:29.000,2024-01-05 14:59:29.000,1,email,email,cmpn_421,53dsvdsa,brand launch,email,email,cmpn_421,53dsvdsa,brand launch,,,,,,,,2024-01-05 14:59:29.000,2024-01-05 14:59:29.000,497
alexis.gonzalez694@example.org,2,2024-03-03 09:51:53.000,2024-03-03 09:51:53.000,1,,,,,,,,,,,,,,,,,,2024-03-03 09:51:53.000,2024-03-03 09:51:53.000,439
erik.clarke595@example.org,2,2024-03-22 18:50:20.000,2024-03-22 18:50:20.000,1,,,,,,,,,,,,,,,,,,2024-03-22 18:50:20.000,2024-03-22 18:50:20.000,420
reed.cameron268@example.org,1,2024-12-23 04:16:12.000,2024-12-23 04:16:12.000,1,,,,,,,,,,,,,,,,,,2024-12-23 04:16:12.000,2024-12-23 04:16:12.000,144
jacob.evans390@example.net,2,2024-08-08 09:20:03.000,2024-10-19 12:52:06.000,1,,,,,,,,,,,,,,,,,,2024-08-08 09:20:03.000,2024-10-19 12:52:06.000,209
cabrera.andrea016@example.org,2,2025-09-05 09:03:44.000,2025-10-24 17:47:32.000,1,,,,,,,,,,,,,,,,,,2025-09-05 09:03:44.000,2025-10-24 17:47:32.000,-161
christy.reyes399@example.org,3,2025-01-03 11:16:18.000,2025-05-01 20:09:50.000,1,twitter,paidsocial,cmpn_125,gts23ds,abandon cart,,,,,,,,,,,,,2025-01-03 11:16:18.000,2025-05-01 20:09:50.000,15
daniel.avery725@example.org,1,2025-01-31 01:31:03.000,2025-01-31 01:31:03.000,1,,,,,,,,,,,,,,,,,,2025-01-31 01:31:03.000,2025-01-31 01:31:03.000,105
teresa.blair910@example.com,1,2025-07-01 10:07:41.000,2025-07-01 10:07:41.000,1,,,,,,,,,,,,,,,,,,2025-07-01 10:07:41.000,2025-07-01 10:07:41.000,-46
williams.justin641@example.org,2,2024-02-21 09:09:33.000,2024-02-21 09:09:33.000,1,,,,,,,,,,,,,,,,,,2024-02-21 09:09:33.000,2024-02-21 09:09:33.000,450
lisaking@example.com,2,2024-01-28 15:53:06.000,2024-01-28 15:53:06.000,1,,,,,,,,,,,,,,,,,,2024-01-28 15:53:06.000,2024-01-28 15:53:06.000,474
conniebooker@example.com,2,2024-01-17 16:57:53.000,2024-01-17 16:57:53.000,1,email,email,cmpn_421,53dsvdsa,brand launch,email,email,cmpn_421,53dsvdsa,brand launch,,,,,,,,2024-01-17 16:57:53.000,2024-01-17 16:57:53.000,485
brock.elizabeth237@example.org,2,2023-09-07 06:27:07.000,2023-09-07 06:27:07.000,1,,,,,,,,,,,,,,,,,,2023-09-07 06:27:07.000,2023-09-07 06:27:07.000,617
kennethross@example.com,2,2023-11-19 06:16:20.000,2023-11-19 06:16:20.000,1,,,,,,,,,,,,,,,,,,2023-11-19 06:16:20.000,2023-11-19 06:16:20.000,544
garrett.flores805@example.org,2,2025-06-17 21:03:22.000,2025-07-31 05:02:17.000,1,,,,,,,,,,,,,,,,,,2025-06-17 21:03:22.000,2025-07-31 05:02:17.000,-76
keith.lopez438@example.com,3,2025-03-20 11:49:16.000,2025-07-18 19:44:21.000,1,,,,,,,,,,,,,,,,,,2025-03-20 11:49:16.000,2025-07-18 19:44:21.000,-63
nicole.lopez051@example.com,4,2025-08-04 18:03:09.000,2026-02-17 13:40:22.000,1,bing,ppc,cmpn_830,cdasareravf,paid users,,,,,,,,,,,,,2025-08-04 18:03:09.000,2026-02-17 13:40:22.000,-277
antonio.martinez637@example.org,3,2024-07-17 14:22:41.000,2024-10-27 04:49:21.000,1,,,,,,,,,,,,,,,,,,2024-07-17 14:22:41.000,2024-10-27 04:49:21.000,201
sethdavis@example.com,1,2025-01-19 22:20:41.000,2025-01-19 22:20:41.000,1,,,,,,,,,,,,,,,,,,2025-01-19 22:20:41.000,2025-01-19 22:20:41.000,117
brendalozano@example.com,2,2024-04-23 23:06:14.000,2024-06-20 06:23:30.000,1,,,,,,email,email,cmpn_421,53dsvdsa,brand launch,,,,,,,,2024-04-23 23:06:14.000,2024-06-20 06:23:30.000,330
cardenas.louis910@example.org,2,2024-02-19 12:43:20.000,2024-02-19 12:43:20.000,1,,,,,,,,,,,,,,,,,,2024-02-19 12:43:20.000,2024-02-19 12:43:20.000,452
higgins.scott490@example.org,2,2024-03-14 14:09:58.000,2024-03-14 14:09:58.000,1,,,,,,,,,,,,,,,,,,2024-03-14 14:09:58.000,2024-03-14 14:09:58.000,428
sheilamcgee@example.com,2,2024-02-07 12:10:07.000,2024-02-07 12:10:07.000,1,,,,,,,,,,,,,,,,,,2024-02-07 12:10:07.000,2024-02-07 12:10:07.000,464
adams.mark600@example.org,2,2023-10-16 19:04:51.000,2023-10-16 19:04:51.000,1,,,,,,,,,,,,,,,,,,2023-10-16 19:04:51.000,2023-10-16 19:04:51.000,578
rogers.cody409@example.org,2,2024-03-06 07:21:03.000,2024-03-06 07:21:03.000,1,,,,,,,,,,,,,,,,,,2024-03-06 07:21:03.000,2024-03-06 07:21:03.000,436
anthonygarrett@example.com,4,2025-06-13 04:09:29.000,2025-08-25 19:39:18.000,1,google,ppc,cmpn_533,gfaa4rvdsa,new users,,,,,,,,,,,,,2025-06-13 04:09:29.000,2025-08-25 19:39:18.000,-101
bryan.thompson030@example.org,2,2025-12-07 10:40:29.000,2026-02-24 19:44:06.000,1,,,,,,,,,,,,,,,,,,2025-12-07 10:40:29.000,2026-02-24 19:44:06.000,-284
kemp.bonnie282@example.org,3,2025-11-25 11:36:43.000,2026-03-06 00:52:21.000,1,bing,ppc,cmpn_830,cdasareravf,paid users,,,,,,,,,,,,,2025-11-25 11:36:43.000,2026-03-06 00:52:21.000,-294
michael.ramirez299@example.org,1,2025-07-19 08:44:38.000,2025-07-19 08:44:38.000,1,,,,,,,,,,,,,,,,,,2025-07-19 08:44:38.000,2025-07-19 08:44:38.000,-64
james.mills498@example.com,1,2025-01-20 08:49:34.000,2025-01-20 08:49:34.000,1,,,,,,,,,,,,,,,,,,2025-01-20 08:49:34.000,2025-01-20 08:49:34.000,116
anthony.kyle640@example.org,3,2024-05-22 10:48:35.000,2024-08-17 18:27:18.000,1,,,,,,google,ppc,cmpn_533,gfaa4rvdsa,new users,,,,,,,,2024-05-22 10:48:35.000,2024-08-17 18:27:18.000,272
massey.alison449@example.org,2,2023-09-11 10:28:30.000,2023-09-11 10:28:30.000,1,,,,,,,,,,,1,155.00,2023-09-11 10:35:08.000,2023-09-11 10:35:08.000,,,,2023-09-11 10:28:30.000,2023-09-11 10:35:08.000,613
jake.smith354@example.org,2,2024-03-01 21:20:36.000,2024-03-01 21:20:36.000,1,,,,,,,,,,,1,114.00,2024-03-01 21:24:19.000,2024-03-01 21:24:19.000,,,,2024-03-01 21:20:36.000,2024-03-01 21:24:19.000,441
